,Nome,Qualidade,Importância
0,2 Girls 1 Cup,1,1
1,Lista de prefeitos de Vinhedo,1,1
2,Campeonato Brasileiro de Xadrez,1,1
3,Socorro (distrito de São Paulo),1,1
4,Pedreira (distrito de São Paulo),1,1
5,Caio Cibella de Carvalho,1,1
6,Nanuque,1,2
7,Estrela do Indaiá,1,2
8,Augusto de Lima,1,2
9,Ibiaí,1,2
10,Mesorregião do Norte de Minas,1,2
11,São Geraldo do Baixio,1,2
12,Aeroporto de Vila Bela da Santíssima Trindade,1,3
13,Aeroporto de Aripuanã,1,3
14,Aeroporto de Cachoeira do Sul,1,3
15,Aeroporto de Capão da Canoa,1,3
16,Aeroporto de Guaíra,1,3
17,Aeroporto de São João del-Rei,1,3
18,Composição étnica do Brasil,1,4
19,Phyllodytes,1,4
20,Parque Nacional do Alto Cariri,1,4
21,Rodrigo Patto Sá Motta,1,4
22,Bibiano Sérgio Macedo da Fontoura Costallat,1,4
23,Surubim-do-doce,1,4
24,Uassus,2,1
25,Banda colorida,2,1
26,Pari,2,1
27,Cidade Líder,2,1
28,1.º Esquadrão Independente de Polícia Montada da PMRR,2,1
29,Super Gospel,2,1
30,Catanduvas (Paraná),2,2
31,Forqueta Baixa,2,2
32,Presidente Getúlio,2,2
33,Prado Ferreira,2,2
34,Aeroporto Ipiranga,2,2
35,Tomazina,2,2
36,Aeroporto de Redenção,2,3
37,Aeroporto de Ponta Grossa,2,3
38,Aeroporto de Arraias,2,3
39,Aeroporto de Gurupi,2,3
40,Aeroporto de Ourilândia do Norte,2,3
41,Almas (Tocantins),2,3
42,Pataxós,2,4
43,Hidroxicloroquina,2,4
44,Guerra Guaranítica,2,4
45,Arquivo Público Mineiro,2,4
46,Alípio de Miranda Ribeiro,2,4
47,Domenico Vandelli,2,4
48,Michele Andrade,3,1
49,Bibliografia sobre Ayrton Senna,3,1
50,Michelle Andrade,3,1
51,Guilherme Boulos,3,1
52,Ermelino Matarazzo (distrito de São Paulo),3,1
53,Levy Fidelix,3,1
54,Astolfo Dutra,3,2
55,Bento de Abreu,3,2
56,Inhapim,3,2
57,Guaçuí,3,2
58,Goioerê,3,2
59,Descoberto,3,2
60,Padre Cícero,3,3
61,Aeroporto Internacional de Campinas,3,3
62,André Matias,3,3
63,Ananindeua,3,3
64,Vila Sésamo,3,3
65,Itapecerica da Serra,3,3
66,Universidade de São Paulo,3,4
67,Silvio Santos,3,4
68,Paulo Kakinoff,3,4
69,Região Metropolitana da Baixada Santista,3,4
70,Intolerância religiosa no Brasil,3,4
71,Rondônia,3,4
72,Apascentar de Louvor,4,1
73,Lexa (cantora),4,1
74,Damares (cantora),4,1
75,Oficina G3,4,1
76,Frota de aeronaves da Azul Linhas Aéreas Brasileiras,4,1
77,Trazendo a Arca,4,1
78,Lista de primatas do Brasil,4,2
79,Canguaretama,4,2
80,Pelé,4,2
81,Passo do Sabão,4,2
82,Avenida Governador Agamenon Magalhães,4,2
83,Lista de primatas ameaçados do Brasil,4,2
84,Aeroporto Internacional de Goiânia,4,3
85,Aeroporto Campo de Marte,4,3
86,Anápolis,4,3
87,Guapé,4,3
88,São Carlos (São Paulo),4,3
89,Kit Covid,4,3
90,Bolsonarismo,4,4
91,Saci,4,4
92,Getúlio Vargas,4,4
93,Lei da Ficha Limpa,4,4
94,Região geoeconômica Nordeste do Brasil,4,4
95,Programa de Desenvolvimento de Submarinos,4,4
96,Primeiro concurso da Mega-Sena,5,1
97,Senador Melo Viana,5,1
98,Pontalete,5,1
99,Raimundo Alves de Carvalho,5,1
100,Pedro Augusto de Saxe-Coburgo e Bragança,5,1
101,Shopping Vale do Aço,5,1
102,Eleição presidencial no Brasil em 2014,5,2
103,Coronel João Pessoa,5,2
104,Marcelino Vieira,5,2
105,LATAM Airlines Brasil,5,2
106,Resplendor,5,2
107,Piraí do Sul,5,2
108,Marina Silva,5,3
109,História do Paraná,5,3
110,Lista de canções número um na Brasil Hot Popular Songs em 2011,5,3
111,Teófilo Otoni,5,3
112,Mário de Andrade,5,3
113,Itabira,5,3
114,Carlos Luz,5,4
115,Ditadura militar brasileira,5,4
116,Aborto no Brasil,5,4
117,Racismo no Brasil,5,4
118,Deodoro (encouraçado),5,4
119,Roraima,5,4
